"CUSTOMER_STATE","SELLER_STATE","CUSTOMER_STATE_LAT","CUSTOMER_STATE_LNG","SELLER_STATE_LAT","SELLER_STATE_LNG","TOTAL_FREIGHT_VALUE"
CE,RN,-4.628164063264693,-39.12452010467055,-5.864841623635242,-36.236780659852265,114.98
CE,RS,-4.628164063264693,-39.12452010467055,-29.405371844827677,-51.99545799943851,828.44
CE,SC,-4.628164063264693,-39.12452010467055,-27.233756086210168,-49.96532630581995,1616.54
CE,SP,-4.628164063264693,-39.12452010467055,-23.191158107928256,-47.05378549380357,45965.13
DF,BA,-15.790607098465964,-48.041233449700464,-12.989871851119448,-39.615591300124855,552.25
DF,CE,-15.790607098465964,-48.041233449700464,-4.628164063264693,-39.12452010467055,27.84
DF,DF,-15.790607098465964,-48.041233449700464,-15.790607098465964,-48.041233449700464,926.78
DF,ES,-15.790607098465964,-48.041233449700464,-19.90141177780134,-40.691985842305776,42.01
DF,GO,-15.790607098465964,-48.041233449700464,-16.544386780171276,-49.27402937998611,490.7
DF,MA,-15.790607098465964,-48.041233449700464,-3.9751512906138347,-44.82710896397979,707.35
DF,MG,-15.790607098465964,-48.041233449700464,-19.768131943331838,-44.25358623321739,6706.93
DF,MS,-15.790607098465964,-48.041233449700464,-21.033754693811588,-54.58754251592346,97.71
DF,MT,-15.790607098465964,-48.041233449700464,-14.24217021245117,-55.43095256054814,170.88
DF,PB,-15.790607098465964,-48.041233449700464,-7.053690918143463,-36.18945874369153,38.75
DF,PE,-15.790607098465964,-48.041233449700464,-8.252919762977053,-35.94553525314061,408.45
DF,PR,-15.790607098465964,-48.041233449700464,-24.51761690736683,-51.13921446386092,7094.54
DF,RJ,-15.790607098465964,-48.041233449700464,-22.62313258857956,-43.189515153563526,2647.34
DF,RN,-15.790607098465964,-48.041233449700464,-5.864841623635242,-36.236780659852265,22.85
DF,RS,-15.790607098465964,-48.041233449700464,-29.405371844827677,-51.99545799943851,1618.71
DF,SC,-15.790607098465964,-48.041233449700464,-27.233756086210168,-49.96532630581995,2754.72
DF,SP,-15.790607098465964,-48.041233449700464,-23.191158107928256,-47.05378549380357,41509.32
ES,BA,-19.90141177780134,-40.691985842305776,-12.989871851119448,-39.615591300124855,360.24
ES,CE,-19.90141177780134,-40.691985842305776,-4.628164063264693,-39.12452010467055,69.93
ES,DF,-19.90141177780134,-40.691985842305776,-15.790607098465964,-48.041233449700464,695.69
ES,ES,-19.90141177780134,-40.691985842305776,-19.90141177780134,-40.691985842305776,263.87
ES,GO,-19.90141177780134,-40.691985842305776,-16.544386780171276,-49.27402937998611,184.5
ES,MA,-19.90141177780134,-40.691985842305776,-3.9751512906138347,-44.82710896397979,370.46
ES,MG,-19.90141177780134,-40.691985842305776,-19.768131943331838,-44.25358623321739,6835.94
ES,MT,-19.90141177780134,-40.691985842305776,-14.24217021245117,-55.43095256054814,77.01
ES,PB,-19.90141177780134,-40.691985842305776,-7.053690918143463,-36.18945874369153,52.48
ES,PE,-19.90141177780134,-40.691985842305776,-8.252919762977053,-35.94553525314061,490.25
ES,PR,-19.90141177780134,-40.691985842305776,-24.51761690736683,-51.13921446386092,4535.86
ES,RJ,-19.90141177780134,-40.691985842305776,-22.62313258857956,-43.189515153563526,2688.9
ES,RO,-19.90141177780134,-40.691985842305776,-10.635373026211626,-62.56912646825704,58.54
ES,RS,-19.90141177780134,-40.691985842305776,-29.405371844827677,-51.99545799943851,1325.06
ES,SC,-19.90141177780134,-40.691985842305776,-27.233756086210168,-49.96532630581995,1925.15
ES,SE,-19.90141177780134,-40.691985842305776,-10.760415681767354,-37.20220554149861,42.91
ES,SP,-19.90141177780134,-40.691985842305776,-23.191158107928256,-47.05378549380357,42674.54
GO,BA,-16.544386780171276,-49.27402937998611,-12.989871851119448,-39.615591300124855,458.27
GO,CE,-16.544386780171276,-49.27402937998611,-4.628164063264693,-39.12452010467055,144.29
GO,DF,-16.544386780171276,-49.27402937998611,-15.790607098465964,-48.041233449700464,779.75
GO,ES,-16.544386780171276,-49.27402937998611,-19.90141177780134,-40.691985842305776,155.63
GO,GO,-16.544386780171276,-49.27402937998611,-16.544386780171276,-49.27402937998611,742.04
GO,MA,-16.544386780171276,-49.27402937998611,-3.9751512906138347,-44.82710896397979,580.01
GO,MG,-16.544386780171276,-49.27402937998611,-19.768131943331838,-44.25358623321739,9158.9
GO,MS,-16.544386780171276,-49.27402937998611,-21.033754693811588,-54.58754251592346,20.4
